vlname;netwadd;mask;gw;range_start;range_end;broadcast;wildcard
362;10.0.10.32;255.255.255.240;10.0.10.33/28;10.0.10.33;10.0.10.46;10.0.10.47;0.0.0.15
363;10.0.10.48;255.255.255.240;10.0.10.49/28;10.0.10.49;10.0.10.62;10.0.10.63;0.0.0.15
364;10.0.10.64;255.255.255.240;10.0.10.65/28;10.0.10.65;10.0.10.78;10.0.10.79;0.0.0.15
365;10.0.10.80;255.255.255.240;10.0.10.81/28;10.0.10.81;10.0.10.94;10.0.10.95;0.0.0.15
366;10.0.10.96;255.255.255.240;10.0.10.97/28;10.0.10.97;10.0.10.110;10.0.10.111;0.0.0.15
367;10.0.10.112;255.255.255.240;10.0.10.113/28;10.0.10.113;10.0.10.126;10.0.10.127;0.0.0.15
368;10.0.10.128;255.255.255.240;10.0.10.129/28;10.0.10.129;10.0.10.142;10.0.10.143;0.0.0.15
369;10.0.10.144;255.255.255.240;10.0.10.145/28;10.0.10.145;10.0.10.158;10.0.10.159;0.0.0.15
370;10.0.10.160;255.255.255.240;10.0.10.161/28;10.0.10.161;10.0.10.174;10.0.10.175;0.0.0.15
371;10.0.10.176;255.255.255.240;10.0.10.177/28;10.0.10.177;10.0.10.190;10.0.10.191;0.0.0.15
372;10.0.10.192;255.255.255.240;10.0.10.193/28;10.0.10.193;10.0.10.206;10.0.10.207;0.0.0.15
373;10.0.10.208;255.255.255.240;10.0.10.209/28;10.0.10.209;10.0.10.222;10.0.10.223;0.0.0.15
374;10.0.10.224;255.255.255.240;10.0.10.225/28;10.0.10.225;10.0.10.238;10.0.10.239;0.0.0.15
375;10.0.10.240;255.255.255.240;10.0.10.241/28;10.0.10.241;10.0.10.254;10.0.10.255;0.0.0.15
376;10.0.11.0;255.255.255.240;10.0.11.1/28;10.0.11.1;10.0.11.14;10.0.11.15;0.0.0.15
377;10.0.11.16;255.255.255.240;10.0.11.17/28;10.0.11.17;10.0.11.30;10.0.11.31;0.0.0.15
378;10.0.11.32;255.255.255.240;10.0.11.33/28;10.0.11.33;10.0.11.46;10.0.11.47;0.0.0.15
379;10.0.11.48;255.255.255.240;10.0.11.49/28;10.0.11.49;10.0.11.62;10.0.11.63;0.0.0.15
380;10.0.11.64;255.255.255.240;10.0.11.65/28;10.0.11.65;10.0.11.78;10.0.11.79;0.0.0.15
381;10.0.11.80;255.255.255.240;10.0.11.81/28;10.0.11.81;10.0.11.94;10.0.11.95;0.0.0.15
382;10.0.11.96;255.255.255.240;10.0.11.97/28;10.0.11.97;10.0.11.110;10.0.11.111;0.0.0.15
383;10.0.11.112;255.255.255.240;10.0.11.113/28;10.0.11.113;10.0.11.126;10.0.11.127;0.0.0.15
384;10.0.11.128;255.255.255.240;10.0.11.129/28;10.0.11.129;10.0.11.142;10.0.11.143;0.0.0.15
385;10.0.11.144;255.255.255.240;10.0.11.145/28;10.0.11.145;10.0.11.158;10.0.11.159;0.0.0.15
386;10.0.11.160;255.255.255.240;10.0.11.161/28;10.0.11.161;10.0.11.174;10.0.11.175;0.0.0.15
387;10.0.11.176;255.255.255.240;10.0.11.177/28;10.0.11.177;10.0.11.190;10.0.11.191;0.0.0.15
388;10.0.11.192;255.255.255.240;10.0.11.193/28;10.0.11.193;10.0.11.206;10.0.11.207;0.0.0.15
389;10.0.11.208;255.255.255.240;10.0.11.209/28;10.0.11.209;10.0.11.222;10.0.11.223;0.0.0.15
390;10.0.11.224;255.255.255.240;10.0.11.225/28;10.0.11.225;10.0.11.238;10.0.11.239;0.0.0.15
391;10.0.11.240;255.255.255.240;10.0.11.241/28;10.0.11.241;10.0.11.254;10.0.11.255;0.0.0.15
392;10.0.12.0;255.255.255.240;10.0.12.1/28;10.0.12.1;10.0.12.14;10.0.12.15;0.0.0.15
393;10.0.12.16;255.255.255.240;10.0.12.17/28;10.0.12.17;10.0.12.30;10.0.12.31;0.0.0.15
394;10.0.12.32;255.255.255.240;10.0.12.33/28;10.0.12.33;10.0.12.46;10.0.12.47;0.0.0.15
395;10.0.12.48;255.255.255.240;10.0.12.49/28;10.0.12.49;10.0.12.62;10.0.12.63;0.0.0.15
396;10.0.12.64;255.255.255.240;10.0.12.65/28;10.0.12.65;10.0.12.78;10.0.12.79;0.0.0.15
397;10.0.12.80;255.255.255.240;10.0.12.81/28;10.0.12.81;10.0.12.94;10.0.12.95;0.0.0.15
398;10.0.12.96;255.255.255.240;10.0.12.97/28;10.0.12.97;10.0.12.110;10.0.12.111;0.0.0.15
399;10.0.12.112;255.255.255.240;10.0.12.113/28;10.0.12.113;10.0.12.126;10.0.12.127;0.0.0.15
